@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute currentScore numeric
@attribute action {West,East,North,South,Stop}

@data
North,12,11,True,True,True,True,5,6,5,11,14,6,13,12,12,7,7,3,-1,North
North,12,12,True,True,True,True,5,5,5,12,14,7,14,12,14,7,7,1,-2,East
East,13,12,True,True,True,False,5,5,5,11,15,7,7,1,15,9,7,0,197,South
South,13,11,True,True,True,False,6,5,5,12,15,8,7,1,13,9,5,0,196,South
South,13,10,True,True,True,False,5,5,5,12,14,8,7,1,13,10,3,0,195,South
South,13,9,True,True,True,False,6,5,6,12,14,9,7,1,11,10,1,0,194,East
East,14,9,True,True,False,False,6,4,6,13,5,1,7,1,13,12,0,0,393,North
North,14,10,True,True,False,False,6,4,6,14,5,1,7,1,14,12,0,0,392,North
North,14,11,True,True,False,False,5,4,6,14,5,1,7,1,16,11,0,0,391,North
North,14,12,True,True,False,False,5,3,7,14,5,1,7,1,18,9,0,0,390,North
North,14,13,True,True,False,False,6,3,8,14,5,1,7,1,18,7,0,0,389,North
North,14,14,True,True,False,False,5,3,7,14,5,1,7,1,20,7,0,0,388,West
West,13,14,True,True,False,False,5,3,7,14,5,1,7,1,19,6,0,0,387,West
West,12,14,True,True,False,False,5,4,7,14,5,1,7,1,17,5,0,0,386,West
West,11,14,True,True,False,False,5,4,7,13,5,1,7,1,16,5,0,0,385,South
South,11,13,True,True,False,False,5,4,6,13,5,1,7,1,15,5,0,0,384,West
West,10,13,True,True,False,False,5,5,6,12,5,1,7,1,13,5,0,0,383,South
South,10,12,True,True,False,False,5,6,5,12,5,1,7,1,11,5,0,0,382,West
West,9,12,True,True,False,False,5,7,5,13,5,1,7,1,9,5,0,0,381,North
North,9,13,True,True,False,False,5,6,4,13,5,1,7,1,11,5,0,0,380,West
West,8,13,True,True,False,False,6,6,4,12,5,1,7,1,9,5,0,0,379,South
South,8,12,True,True,False,False,6,5,4,13,5,1,7,1,9,5,0,0,378,North
West,7,12,True,True,False,False,6,6,4,12,5,1,7,1,7,3,0,0,377,West
West,6,12,True,True,False,False,7,6,5,12,5,1,7,1,7,1,0,0,376,West
West,5,12,True,False,False,False,8,6,3,1,5,1,7,1,9,0,0,0,575,South
South,5,11,True,False,False,False,9,6,3,1,5,1,7,1,9,0,0,0,574,East
East,6,11,True,False,False,False,9,5,3,1,5,1,7,1,9,0,0,0,573,South
South,6,10,True,False,False,False,9,5,3,1,5,1,7,1,8,0,0,0,572,South
South,6,9,True,False,False,False,9,4,3,1,5,1,7,1,8,0,0,0,571,South
South,6,8,True,False,False,False,8,4,3,1,5,1,7,1,6,0,0,0,570,South
South,6,7,True,False,False,False,8,3,3,1,5,1,7,1,6,0,0,0,569,South
South,6,6,True,False,False,False,7,3,3,1,5,1,7,1,4,0,0,0,568,South
South,6,5,True,False,False,False,7,3,3,1,5,1,7,1,3,0,0,0,567,South
South,6,4,True,False,False,False,7,3,3,1,5,1,7,1,2,0,0,0,566,South
South,6,3,True,False,False,False,7,4,3,1,5,1,7,1,2,0,0,0,565,North
East,7,3,True,False,False,False,8,4,3,1,5,1,7,1,2,0,0,0,564,North
West,10,10,True,True,True,True,6,5,7,11,21,8,25,14,9,4,13,18,-1,North
North,10,11,True,True,True,True,5,5,6,11,20,8,24,14,11,4,13,18,-2,West
West,9,11,True,True,True,True,6,5,6,10,20,8,24,15,9,4,14,19,-3,South
South,9,10,True,True,True,True,6,4,6,11,20,7,24,15,9,4,14,20,-4,North
West,8,10,True,True,True,True,6,3,6,11,20,8,24,15,9,3,14,21,-5,North
North,8,11,True,True,True,True,6,3,6,11,21,8,24,15,10,2,16,20,-6,West
West,7,11,True,False,True,True,7,3,3,1,21,7,24,15,8,0,18,20,193,South
South,7,10,True,False,True,True,6,3,3,1,20,7,24,14,8,0,16,20,192,South
South,7,9,True,False,True,True,6,3,3,1,20,7,24,13,7,0,15,20,191,South
South,7,8,True,False,True,True,5,3,3,1,21,7,24,12,7,0,15,22,190,South
South,7,7,True,False,True,True,4,3,3,1,20,7,25,12,7,0,13,22,189,West
West,6,7,True,False,True,True,4,4,3,1,20,6,24,12,5,0,15,24,188,South
South,6,6,True,False,True,True,4,4,3,1,20,7,24,13,4,0,15,24,187,South
South,6,5,True,False,True,True,4,4,3,1,21,7,24,12,3,0,17,25,186,South
South,6,4,True,False,True,True,3,4,3,1,21,8,24,12,3,0,19,27,185,West
West,5,4,True,False,True,True,3,5,3,1,20,8,25,12,3,0,19,28,184,North
North,5,5,True,False,True,True,3,5,3,1,21,8,25,12,2,0,19,27,183,West
West,4,5,True,False,True,True,3,6,3,1,22,8,25,12,2,0,21,28,182,North
North,4,6,True,False,True,True,3,7,3,1,23,8,25,12,2,0,21,28,181,West
West,3,6,True,False,True,True,3,7,3,1,22,8,25,13,1,0,21,29,180,North
North,3,7,False,False,True,True,1,1,3,1,22,9,25,13,0,0,21,28,379,North
North,3,8,False,False,True,True,1,1,3,1,22,9,25,13,0,0,20,28,378,North
North,3,9,False,False,True,True,1,1,3,1,23,9,25,14,0,0,20,26,377,East
East,4,9,False,False,True,True,1,1,3,1,22,9,25,13,0,0,18,26,376,East
East,5,9,False,False,True,True,1,1,3,1,22,8,25,14,0,0,18,24,375,South
South,5,8,False,False,True,True,1,1,3,1,22,7,24,14,0,0,18,24,374,East
East,6,8,False,False,True,True,1,1,3,1,23,7,24,13,0,0,18,22,373,South
South,6,7,False,False,True,True,1,1,3,1,22,7,24,12,0,0,16,24,372,East
East,7,7,False,False,True,True,1,1,3,1,21,7,25,12,0,0,14,23,371,East
East,8,7,False,False,True,True,1,1,3,1,21,7,25,12,0,0,13,23,370,East
East,9,7,False,False,True,True,1,1,3,1,21,6,25,13,0,0,13,21,369,South
South,9,6,False,False,True,True,1,1,3,1,22,6,24,13,0,0,13,21,368,East
East,10,6,False,False,True,True,1,1,3,1,22,5,24,12,0,0,13,21,367,East
East,11,6,False,False,True,True,1,1,3,1,22,6,24,13,0,0,11,19,366,East
East,12,6,False,False,True,True,1,1,3,1,22,7,23,13,0,0,11,17,365,North
North,12,7,False,False,True,True,1,1,3,1,22,7,22,13,0,0,10,17,364,East
East,13,7,False,False,True,True,1,1,3,1,22,8,22,14,0,0,10,15,363,North
North,13,8,False,False,True,True,1,1,3,1,21,8,21,14,0,0,8,13,362,East
East,14,8,False,False,True,True,1,1,3,1,20,8,20,14,0,0,6,11,361,East
East,15,8,False,False,True,True,1,1,3,1,20,8,19,14,0,0,5,10,360,East
East,16,8,False,False,True,True,1,1,3,1,20,8,19,14,0,0,4,8,359,East
East,17,8,False,False,True,True,1,1,3,1,21,8,18,14,0,0,4,6,358,East
East,18,8,False,False,True,True,1,1,3,1,22,8,17,14,0,0,4,8,357,North
North,18,9,False,False,True,True,1,1,3,1,22,9,16,14,0,0,4,7,356,East
East,19,9,False,False,True,True,1,1,3,1,23,9,16,14,0,0,4,7,355,East
East,20,9,False,False,True,True,1,1,3,1,24,9,17,14,0,0,4,7,354,East
East,21,9,False,False,True,True,1,1,3,1,24,9,17,13,0,0,3,7,353,East
East,22,9,False,False,True,True,1,1,3,1,25,9,18,13,0,0,3,8,352,East
East,23,9,False,False,True,True,1,1,3,1,25,9,18,13,0,0,2,9,351,East
East,24,9,False,False,True,True,1,1,3,1,25,8,18,13,0,0,2,11,350,South
South,24,8,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,12,549,North
West,23,8,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,12,548,North
North,23,9,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,11,547,North
North,23,10,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,10,546,North
