@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Remove-R3-6

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
12,6,5,6,5,12,5,1,7,1,West
11,6,5,6,5,12,5,1,7,1,West
10,6,5,6,5,12,5,1,7,1,West
9,6,5,6,5,12,5,1,7,1,West
8,6,5,6,5,12,5,1,7,1,West
7,6,5,6,5,12,5,1,7,1,West
6,6,5,6,5,12,5,1,7,1,West
10,11,5,5,7,10,21,9,25,14,West
9,11,5,5,7,10,21,9,25,14,West
8,11,5,5,7,10,21,9,25,14,West
21,12,1,1,3,1,19,12,7,1,West
20,12,1,1,3,1,19,12,7,1,West
13,1,10,13,13,13,14,13,17,13,West
11,3,10,13,13,13,14,13,17,13,West
10,3,10,13,13,13,14,13,17,13,West
11,9,10,13,13,13,14,13,17,13,West
10,9,10,13,13,13,14,13,17,13,West
9,9,10,13,13,13,14,13,17,13,West
12,13,10,13,3,1,14,13,17,13,West
11,13,10,13,3,1,14,13,17,13,West
12,8,2,9,7,11,11,5,7,1,West
10,6,3,9,6,9,5,1,7,1,West
9,6,3,9,6,10,5,1,7,1,West
8,6,3,9,6,9,5,1,7,1,West
7,6,3,9,7,9,5,1,7,1,West
5,8,1,9,7,8,5,1,7,1,West
4,8,1,8,7,7,5,1,7,1,West
2,9,1,1,7,7,5,1,7,1,West
10,10,5,5,5,10,21,9,25,14,West
9,10,5,5,5,9,22,9,25,15,West
8,10,6,5,4,9,22,10,25,14,West
7,10,6,6,5,9,22,10,24,14,West
2,9,4,9,3,1,1,9,7,1,West
3,12,10,3,10,9,19,12,21,8,West
22,10,1,1,3,1,22,9,22,11,West
22,11,1,1,3,1,5,1,20,10,West
13,1,10,13,13,13,15,13,17,13,West
11,3,10,13,13,15,14,14,17,13,West
10,3,11,13,14,15,14,15,17,13,West
11,9,10,13,19,15,17,15,17,13,West
10,9,10,13,18,15,17,15,17,13,West
9,9,10,13,18,15,18,15,16,13,West
17,21,4,3,16,21,4,1,10,1,West
12,5,1,4,7,11,5,1,7,1,West
11,5,2,4,7,12,5,1,7,1,West
10,5,2,4,6,12,5,1,7,1,West
9,5,1,4,7,12,5,1,7,1,West
8,5,1,4,8,12,5,1,7,1,West
7,5,1,5,8,13,5,1,7,1,West
6,5,1,6,9,13,5,1,7,1,West
5,5,1,7,9,14,5,1,7,1,West
4,5,1,8,9,13,5,1,7,1,West
3,5,1,8,10,13,5,1,7,1,West
2,5,1,8,10,12,5,1,7,1,West
10,11,4,3,8,8,19,9,25,14,West
7,4,1,3,3,1,18,9,24,15,West
6,4,2,3,3,1,18,9,24,14,West
5,4,3,3,3,1,18,8,24,13,West
4,4,3,3,3,1,18,9,25,13,West
2,3,1,1,3,1,18,8,25,15,West
6,5,5,6,4,10,2,6,7,1,West
5,7,1,1,5,8,1,5,7,1,West
3,6,1,1,5,7,1,8,7,1,West
2,6,1,1,6,7,1,9,7,1,West
5,6,1,1,3,1,3,8,7,1,West
13,1,11,13,14,13,16,13,16,13,West
11,3,11,13,14,14,16,13,16,13,West
10,3,12,13,14,15,15,13,16,13,West
11,9,13,13,8,15,17,13,16,13,West
10,9,12,13,8,15,16,13,15,13,West
9,9,11,13,8,14,16,13,15,13,West
13,5,1,3,8,11,5,1,7,1,West
7,5,5,7,4,9,2,6,7,1,West
6,7,1,1,5,9,2,5,7,1,West
12,4,11,6,3,1,20,11,22,6,West
16,5,15,6,3,1,19,10,21,4,West
6,12,1,1,5,12,5,1,7,1,West
11,11,5,5,7,10,21,9,25,14,West
3,7,1,10,2,8,2,9,7,1,West
2,10,1,10,3,1,5,1,7,1,West
22,12,1,1,3,1,19,12,7,1,West
12,3,10,13,13,13,14,13,17,13,West
12,9,10,13,13,13,14,13,17,13,West
6,8,2,9,7,9,5,1,7,1,West
3,9,1,9,6,7,5,1,7,1,West
5,9,1,1,3,1,22,11,25,13,West
3,9,4,8,2,8,1,9,7,1,West
23,10,1,1,3,1,21,9,22,12,West
12,3,11,13,13,14,14,13,17,13,West
12,9,10,13,18,15,17,15,17,13,West
18,21,3,3,16,21,4,1,11,1,West
11,11,4,4,8,9,20,9,25,15,West
4,8,1,1,3,1,2,9,7,1,West
12,5,12,6,3,1,19,11,23,6,West
12,3,10,13,13,14,16,13,15,13,West
12,9,14,13,9,15,16,13,16,13,West
13,6,5,6,5,12,5,1,7,1,West
7,7,5,5,3,1,21,9,25,14,West
6,5,5,5,3,1,21,9,25,14,West
13,13,10,13,3,1,14,13,17,13,West
13,8,2,8,6,11,11,6,7,1,West
11,6,2,9,7,9,5,1,7,1,West
6,8,1,1,4,9,22,11,25,13,West
23,11,1,1,3,1,5,1,21,10,West
14,8,1,4,7,10,12,6,7,1,West
13,6,3,3,7,10,13,5,7,1,West
9,9,4,3,8,7,18,10,25,12,West
9,6,2,3,3,1,18,8,24,12,West
8,4,1,3,3,1,17,9,24,14,West
3,3,2,3,3,1,18,8,25,14,West
4,6,1,1,5,8,1,7,7,1,West
5,9,1,1,4,7,3,9,7,1,West
6,6,1,1,3,1,2,8,7,1,West
10,13,1,1,3,1,14,13,17,13,East
4,9,1,1,3,1,23,11,25,14,East
2,12,10,4,10,10,19,11,21,8,East
3,4,2,3,3,1,18,9,25,13,East
