@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,Stop
12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,Stop
12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,North
12,11,True,True,True,True,5,6,5,12,13,6,13,12,12,8,6,2,North
12,12,True,True,True,True,5,6,5,12,13,6,13,12,13,7,7,1,East
13,12,True,True,True,False,5,6,5,12,13,6,7,1,14,8,6,0,South
13,11,True,True,True,False,5,6,5,12,13,6,7,1,13,9,5,0,South
13,10,True,True,True,False,5,6,5,12,13,6,7,1,12,10,4,0,South
13,9,True,True,True,False,5,6,5,12,13,6,7,1,11,11,3,0,South
13,8,True,True,True,False,5,6,5,12,13,6,7,1,10,12,2,0,South
13,7,True,True,True,False,5,6,5,12,13,6,7,1,9,13,1,0,South
13,6,True,True,False,False,5,6,5,12,5,1,7,1,8,14,0,0,West
12,6,True,True,False,False,5,6,5,12,5,1,7,1,7,13,0,0,West
11,6,True,True,False,False,5,6,5,12,5,1,7,1,6,12,0,0,West
10,6,True,True,False,False,5,6,5,12,5,1,7,1,5,11,0,0,West
9,6,True,True,False,False,5,6,5,12,5,1,7,1,4,10,0,0,West
8,6,True,True,False,False,5,6,5,12,5,1,7,1,3,9,0,0,West
7,6,True,True,False,False,5,6,5,12,5,1,7,1,2,8,0,0,West
6,6,True,True,False,False,5,6,5,12,5,1,7,1,1,7,0,0,West
5,6,False,True,False,False,1,1,5,12,5,1,7,1,0,6,0,0,North
5,7,False,True,False,False,1,1,5,12,5,1,7,1,0,5,0,0,North
5,8,False,True,False,False,1,1,5,12,5,1,7,1,0,4,0,0,East
6,8,False,True,False,False,1,1,5,12,5,1,7,1,0,5,0,0,North
6,9,False,True,False,False,1,1,5,12,5,1,7,1,0,4,0,0,North
