@relation var5_nonorm_nobalanced-weka.filters.unsupervised.attribute.Remove-R16-19

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,Stop
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,Stop
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,North
North,12,11,True,True,True,True,5,6,5,12,13,6,13,12,North
North,12,12,True,True,True,True,5,6,5,12,13,6,13,12,East
East,13,12,True,True,True,False,5,6,5,12,13,6,7,1,South
South,13,11,True,True,True,False,5,6,5,12,13,6,7,1,South
South,13,10,True,True,True,False,5,6,5,12,13,6,7,1,South
South,13,9,True,True,True,False,5,6,5,12,13,6,7,1,South
South,13,8,True,True,True,False,5,6,5,12,13,6,7,1,South
South,13,7,True,True,True,False,5,6,5,12,13,6,7,1,South
South,13,6,True,True,False,False,5,6,5,12,5,1,7,1,West
West,12,6,True,True,False,False,5,6,5,12,5,1,7,1,West
West,11,6,True,True,False,False,5,6,5,12,5,1,7,1,West
West,10,6,True,True,False,False,5,6,5,12,5,1,7,1,West
West,9,6,True,True,False,False,5,6,5,12,5,1,7,1,West
West,8,6,True,True,False,False,5,6,5,12,5,1,7,1,West
West,7,6,True,True,False,False,5,6,5,12,5,1,7,1,West
West,6,6,True,True,False,False,5,6,5,12,5,1,7,1,West
West,5,6,False,True,False,False,1,1,5,12,5,1,7,1,North
North,5,7,False,True,False,False,1,1,5,12,5,1,7,1,North
North,5,8,False,True,False,False,1,1,5,12,5,1,7,1,East
East,6,8,False,True,False,False,1,1,5,12,5,1,7,1,North
North,6,9,False,True,False,False,1,1,5,12,5,1,7,1,North
North,6,10,False,True,False,False,1,1,5,12,5,1,7,1,North
North,6,11,False,True,False,False,1,1,5,12,5,1,7,1,North
North,6,12,False,True,False,False,1,1,5,12,5,1,7,1,West
Stop,11,10,True,True,True,True,5,5,7,10,21,9,25,14,Stop
Stop,11,10,True,True,True,True,5,5,7,10,21,9,25,14,North
North,11,11,True,True,True,True,5,5,7,10,21,9,25,14,West
West,10,11,True,True,True,True,5,5,7,10,21,9,25,14,West
West,9,11,True,True,True,True,5,5,7,10,21,9,25,14,West
West,8,11,True,True,True,True,5,5,7,10,21,9,25,14,West
West,7,11,True,True,True,True,5,5,7,10,21,9,25,14,South
South,7,10,True,False,True,True,5,5,3,1,21,9,25,14,South
South,7,9,True,False,True,True,5,5,3,1,21,9,25,14,South
South,7,8,True,False,True,True,5,5,3,1,21,9,25,14,South
South,7,7,True,False,True,True,5,5,3,1,21,9,25,14,Stop
South,7,7,True,False,True,True,5,5,3,1,21,9,25,14,West
West,6,7,True,False,True,True,5,5,3,1,21,9,25,14,South
South,6,6,True,False,True,True,5,5,3,1,21,9,25,14,South
South,6,5,True,False,True,True,5,5,3,1,21,9,25,14,West
West,5,5,False,False,True,True,1,1,3,1,21,9,25,14,South
South,5,4,False,False,True,True,1,1,3,1,21,9,25,14,East
East,6,4,False,False,True,True,1,1,3,1,21,9,25,14,East
East,7,4,False,False,True,True,1,1,3,1,21,9,25,14,East
East,8,4,False,False,True,True,1,1,3,1,21,9,25,14,North
North,8,5,False,False,True,True,1,1,3,1,21,9,25,14,North
North,8,6,False,False,True,True,1,1,3,1,21,9,25,14,East
East,9,6,False,False,True,True,1,1,3,1,21,9,25,14,East
East,10,6,False,False,True,True,1,1,3,1,21,9,25,14,East
East,11,6,False,False,True,True,1,1,3,1,21,9,25,14,East
East,12,6,False,False,True,True,1,1,3,1,21,9,25,14,North
North,12,7,False,False,True,True,1,1,3,1,21,9,25,14,North
North,12,8,False,False,True,True,1,1,3,1,21,9,25,14,East
East,13,8,False,False,True,True,1,1,3,1,21,9,25,14,East
East,14,8,False,False,True,True,1,1,3,1,21,9,25,14,East
East,15,8,False,False,True,True,1,1,3,1,21,9,25,14,North
North,15,9,False,False,True,True,1,1,3,1,21,9,25,14,East
East,16,9,False,False,True,True,1,1,3,1,21,9,25,14,East
East,17,9,False,False,True,True,1,1,3,1,21,9,25,14,East
East,18,9,False,False,True,True,1,1,3,1,21,9,25,14,East
East,19,9,False,False,True,True,1,1,3,1,21,9,25,14,East
East,20,9,False,False,True,True,1,1,3,1,21,9,25,14,East
East,21,9,False,False,False,True,1,1,3,1,5,1,25,14,East
East,22,9,False,False,False,True,1,1,3,1,5,1,25,14,East
East,23,9,False,False,False,True,1,1,3,1,5,1,25,14,East
East,24,9,False,False,False,True,1,1,3,1,5,1,25,14,East
East,25,9,False,False,False,True,1,1,3,1,5,1,25,14,North
North,25,10,False,False,False,True,1,1,3,1,5,1,25,14,North
North,25,11,False,False,False,True,1,1,3,1,5,1,25,14,North
North,25,12,False,False,False,True,1,1,3,1,5,1,25,14,North
North,25,13,False,False,False,True,1,1,3,1,5,1,25,14,North
Stop,1,3,True,True,True,True,1,10,2,8,2,9,3,7,Stop
Stop,1,3,True,True,True,True,1,10,2,8,2,9,3,7,Stop
Stop,1,3,True,True,True,True,1,10,2,8,2,9,3,7,North
North,1,4,True,True,True,True,1,10,2,8,2,9,3,7,North
North,1,5,True,True,True,True,1,10,2,8,2,9,3,7,East
East,2,5,True,True,True,True,1,10,2,8,2,9,3,7,East
East,3,5,True,True,True,True,1,10,2,8,2,9,3,7,North
North,3,6,True,True,True,True,1,10,2,8,2,9,3,7,North
North,3,7,True,True,True,False,1,10,2,8,2,9,7,1,West
West,2,7,True,True,True,False,1,10,2,8,2,9,7,1,North
North,2,8,True,False,True,False,1,10,3,1,2,9,7,1,North
North,2,9,True,False,False,False,1,10,3,1,5,1,7,1,North
North,2,10,True,False,False,False,1,10,3,1,5,1,7,1,West
Stop,4,12,True,True,True,True,9,3,11,7,19,12,22,9,Stop
Stop,4,12,True,True,True,True,9,3,11,7,19,12,22,9,Stop
Stop,4,12,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,11,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,10,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,9,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,8,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,7,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,6,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,5,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,4,True,True,True,True,9,3,11,7,19,12,22,9,East
East,5,4,True,True,True,True,9,3,11,7,19,12,22,9,East
East,6,4,True,True,True,True,9,3,11,7,19,12,22,9,East
East,7,4,True,True,True,True,9,3,11,7,19,12,22,9,South
South,7,3,True,True,True,True,9,3,11,7,19,12,22,9,East
East,8,3,True,True,True,True,9,3,11,7,19,12,22,9,East
East,9,3,False,True,True,True,1,1,11,7,19,12,22,9,East
East,10,3,False,True,True,True,1,1,11,7,19,12,22,9,East
East,11,3,False,True,True,True,1,1,11,7,19,12,22,9,North
North,11,4,False,True,True,True,1,1,11,7,19,12,22,9,North
North,11,5,False,True,True,True,1,1,11,7,19,12,22,9,North
North,11,6,False,True,True,True,1,1,11,7,19,12,22,9,North
North,11,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,12,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,13,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,14,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,15,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,16,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,17,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,18,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,19,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,20,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,21,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,22,7,False,False,True,True,1,1,3,1,19,12,22,9,North
North,22,8,False,False,True,True,1,1,3,1,19,12,22,9,North
North,22,9,False,False,True,False,1,1,3,1,19,12,7,1,North
North,22,10,False,False,True,False,1,1,3,1,19,12,7,1,North
North,22,11,False,False,True,False,1,1,3,1,19,12,7,1,North
North,22,12,False,False,True,False,1,1,3,1,19,12,7,1,West
West,21,12,False,False,True,False,1,1,3,1,19,12,7,1,West
West,20,12,False,False,True,False,1,1,3,1,19,12,7,1,West
Stop,14,1,True,True,True,True,10,13,13,13,14,13,17,13,Stop
Stop,14,1,True,True,True,True,10,13,13,13,14,13,17,13,West
West,13,1,True,True,True,True,10,13,13,13,14,13,17,13,West
West,12,1,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,2,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,3,True,True,True,True,10,13,13,13,14,13,17,13,West
West,11,3,True,True,True,True,10,13,13,13,14,13,17,13,West
West,10,3,True,True,True,True,10,13,13,13,14,13,17,13,West
West,9,3,True,True,True,True,10,13,13,13,14,13,17,13,North
North,9,4,True,True,True,True,10,13,13,13,14,13,17,13,North
North,9,5,True,True,True,True,10,13,13,13,14,13,17,13,North
North,9,6,True,True,True,True,10,13,13,13,14,13,17,13,East
East,10,6,True,True,True,True,10,13,13,13,14,13,17,13,East
East,11,6,True,True,True,True,10,13,13,13,14,13,17,13,East
East,12,6,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,7,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,8,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,9,True,True,True,True,10,13,13,13,14,13,17,13,West
West,11,9,True,True,True,True,10,13,13,13,14,13,17,13,West
West,10,9,True,True,True,True,10,13,13,13,14,13,17,13,West
West,9,9,True,True,True,True,10,13,13,13,14,13,17,13,West
West,8,9,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,10,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,11,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,12,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,13,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,14,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,9,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,10,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,11,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,12,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,13,15,True,True,True,True,10,13,13,13,14,13,17,13,South
South,13,14,True,True,True,True,10,13,13,13,14,13,17,13,South
South,13,13,True,False,True,True,10,13,3,1,14,13,17,13,West
West,12,13,True,False,True,True,10,13,3,1,14,13,17,13,West
West,11,13,True,False,True,True,10,13,3,1,14,13,17,13,West
West,10,13,False,False,True,True,1,1,3,1,14,13,17,13,East
East,11,13,False,False,True,True,1,1,3,1,14,13,17,13,East
East,12,13,False,False,True,True,1,1,3,1,14,13,17,13,East
East,13,13,False,False,True,True,1,1,3,1,14,13,17,13,East
East,14,13,False,False,False,True,1,1,3,1,5,1,17,13,East
East,15,13,False,False,False,True,1,1,3,1,5,1,17,13,East
East,16,13,False,False,False,True,1,1,3,1,5,1,17,13,East
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,Stop
Stop,12,10,True,True,True,True,5,7,5,11,13,6,13,12,North
North,12,11,True,True,True,True,5,8,5,12,12,6,14,12,North
North,12,12,True,True,True,True,5,8,6,12,12,6,13,12,East
East,13,12,True,True,True,True,4,8,6,11,12,7,13,11,South
South,13,11,True,True,True,False,4,9,6,11,12,8,7,1,South
South,13,10,True,True,True,False,3,9,6,11,11,8,7,1,South
South,13,9,True,True,True,False,3,8,7,11,11,7,7,1,South
South,13,8,True,True,True,False,2,8,6,11,11,6,7,1,West
West,12,8,True,True,True,False,2,9,7,11,11,5,7,1,West
West,11,8,True,True,True,False,2,9,7,11,10,5,7,1,South
South,11,7,True,True,True,False,3,9,7,10,10,6,7,1,South
South,11,6,True,True,False,False,2,9,7,9,5,1,7,1,West
West,10,6,True,True,False,False,3,9,6,9,5,1,7,1,West
West,9,6,True,True,False,False,3,9,6,10,5,1,7,1,West
West,8,6,True,True,False,False,3,9,6,9,5,1,7,1,West
West,7,6,True,True,False,False,3,9,7,9,5,1,7,1,West
West,6,6,True,True,False,False,4,9,7,9,5,1,7,1,North
North,6,7,True,True,False,False,3,9,8,9,5,1,7,1,North
North,6,8,True,True,False,False,2,9,7,9,5,1,7,1,West
West,5,8,True,True,False,False,1,9,7,8,5,1,7,1,West
West,4,8,True,True,False,False,1,8,7,7,5,1,7,1,West
West,3,8,True,True,False,False,1,9,6,7,5,1,7,1,North
North,3,9,True,True,False,False,1,9,6,7,5,1,7,1,West
