@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0.212121,0.764706,0,0,West
0.181818,0.705882,0,0,West
0.151515,0.647059,0,0,West
0.121212,0.588235,0,0,West
0.090909,0.529412,0,0,West
0.060606,0.470588,0,0,West
0.030303,0.411765,0,0,West
0.333333,0.235294,0.565217,0.514286,West
0.30303,0.176471,0.608696,0.542857,West
0.272727,0.117647,0.652174,0.571429,West
0,0,0.086957,0,West
0,0,0.043478,0,West
0.454545,0.705882,0.565217,0.457143,West
0.333333,0.705882,0.565217,0.457143,West
0.30303,0.764706,0.608696,0.485714,West
0.151515,0.352941,0.304348,0.285714,West
0.121212,0.411765,0.347826,0.314286,West
0.151515,0.470588,0.391304,0.342857,West
0.060606,0,0.086957,0.142857,West
0.030303,0,0.130435,0.171429,West
0.333333,0.470588,0.173913,0,West
0.30303,0.411765,0,0,West
0.272727,0.411765,0,0,West
0.242424,0.294118,0,0,West
0.212121,0.176471,0,0,West
0.151515,0.117647,0,0,West
0.090909,0.235294,0,0,West
0,0.411765,0,0,West
0.30303,0.294118,0.521739,0.571429,West
0.272727,0.294118,0.608696,0.571429,West
0.212121,0.294118,0.608696,0.571429,West
0.151515,0.176471,0.652174,0.571429,West
0.060606,0,0.043478,0,West
0.484848,0.588235,0.695652,0.628571,West
0,0,0.043478,0.057143,West
0,0,0,0.057143,West
0.454545,0.705882,0.608696,0.428571,West
0.333333,0.823529,0.608696,0.457143,West
0.333333,0.941176,0.695652,0.457143,West
0.151515,0.823529,0.521739,0.285714,West
0.121212,0.823529,0.565217,0.285714,West
0.151515,0.882353,0.652174,0.285714,West
0.939394,0.058824,0,0,West
0.363636,0.647059,0,0,West
0.30303,0.647059,0,0,West
0.272727,0.647059,0,0,West
0.272727,0.529412,0,0,West
0.242424,0.411765,0,0,West
0.181818,0.529412,0,0,West
0.181818,0.647059,0,0,West
0.181818,0.764706,0,0,West
0.181818,0.764706,0,0,West
0.151515,0.882353,0,0,West
0.121212,0.882353,0,0,West
0.424242,0.294118,0.478261,0.514286,West
0.212121,0,0.695652,0.771429,West
0.151515,0,0.73913,0.771429,West
0.090909,0,0.73913,0.828571,West
0.060606,0,0.826087,0.857143,West
0,0,0.913043,1,West
0.060606,0.411765,0.217391,0,West
0,0.058824,0.26087,0,West
0,0.176471,0.173913,0,West
0,0.294118,0.173913,0,West
0,0,0.173913,0,West
0.424242,0.764706,0.652174,0.428571,West
0.30303,0.823529,0.652174,0.428571,West
0.363636,0.941176,0.652174,0.457143,West
0.181818,0.529412,0.434783,0.228571,West
0.181818,0.470588,0.434783,0.257143,West
0.181818,0.352941,0.478261,0.314286,West
0,0,0.173913,0.2,East
0,0,0.913043,0.771429,East
0.484848,0.588235,0.782609,0.628571,East
0.060606,0,0.869565,0.914286,East
0,0,0.913043,1,East
0.060606,0,0.652174,0.342857,East
0,0.352941,0,0,North
0.121212,0.058824,0.086957,0,North
0.424242,0.764706,0.608696,0.485714,North
0.333333,0.823529,0.652174,0.514286,North
0.181818,0.529412,0.434783,0.371429,North
0.151515,0.235294,0,0,North
0.090909,0.235294,0,0,North
0,0.058824,0.826087,0.714286,North
0.424242,0.705882,0.652174,0.485714,North
0.363636,1,0.782609,0.485714,North
0.212121,0.882353,0.652174,0.285714,North
0.090909,0.941176,0,0,North
0.060606,0.352941,0.217391,0,North
0,0.294118,0.173913,0,North
0,0,0.130435,0,North
0,0,0.043478,0,North
0.393939,0.882353,0.652174,0.428571,North
0.424242,0.941176,0.652174,0.514286,North
0.181818,0.294118,0.521739,0.342857,North
0.242424,0.058824,0.695652,0.6,South
0.090909,0,0.73913,0.742857,South
0,0,0.869565,0.828571,South
0.30303,0.411765,0.173913,0,South
0,0.529412,0,0,South
0.090909,0.117647,0.73913,0.628571,South
0.121212,0,0,0,South
0,0,0.130435,0.057143,South
0,0,0,0.057143,South
0.515152,0.470588,0.130435,0,South
0.393939,0.470588,0.043478,0,South
0.393939,0.294118,0.478261,0.514286,South
0.30303,0,0.565217,0.657143,South
0,0.176471,0.173913,0,South
0,0.176471,0.086957,0,South
0.424242,0.647059,0,0,West
0.121212,0.411765,0.26087,0,West
0,0.176471,0.26087,0,West
0.090909,0,0.652174,0.371429,West
0.060606,0,0.347826,0.2,West
0,0,0.869565,0.828571,East
0,0,0.826087,0.8,East
0,0,0.652174,0.685714,East
0,0,0.608696,0.657143,East
0,0,0.565217,0.628571,East
0,0,0.391304,0.514286,East
0,0,0.347826,0.485714,East
0,0,0.217391,0.4,East
0,0,0.173913,0.371429,East
0,0,0.130435,0.342857,East
0,0,0.086957,0.314286,East
0,0,0.043478,0.285714,East
0,0,0,0.257143,East
0,0,0,0.228571,East
0,0,0,0.2,East
0,0,0,0.171429,East
0.181818,0.176471,0.173913,0.085714,East
0.151515,0.529412,0.956522,0.628571,East
0.121212,0.470588,0.913043,0.6,East
0.030303,0.411765,0.869565,0.571429,East
0,0.352941,0.826087,0.542857,East
0,0.294118,0.782609,0.514286,East
0,0,0.521739,0.342857,East
0,0,0.478261,0.314286,East
0,0,0.434783,0.285714,East
0,0,0.391304,0.257143,East
0,0,0.347826,0.228571,East
0,0,0.304348,0.2,East
0,0,0.26087,0.171429,East
0,0,0.217391,0.142857,East
0,0,0.26087,0.114286,East
0,0,0.304348,0.085714,East
0.212121,0.588235,0.478261,0.4,East
0.242424,0.529412,0.434783,0.371429,East
0.090909,0.352941,0.304348,0.285714,East
0.060606,0.294118,0.26087,0.257143,East
0.090909,0.235294,0.217391,0.228571,East
0.121212,0.176471,0.173913,0.2,East
0,0,0.130435,0.171429,East
0,0,0.086957,0.142857,East
0,0,0.043478,0.114286,East
0,0,0,0.085714,East
0,0,0,0.057143,East
0,0,0,0.028571,East
0,0.294118,0,0,East
0,0.176471,0,0,East
0,0.058824,0,0,East
0,0,0.826087,0.714286,East
0,0,0.73913,0.657143,East
0,0,0.73913,0.6,East
0,0,0.73913,0.6,East
0,0,0.73913,0.542857,East
0,0,0.652174,0.485714,East
0,0,0.652174,0.485714,East
0,0,0.565217,0.428571,East
0,0,0.478261,0.428571,East
0,0,0.478261,0.4,East
0,0,0.478261,0.342857,East
0,0,0.478261,0.342857,East
0,0,0.391304,0.2,East
0,0,0.347826,0.2,East
0,0,0.26087,0.142857,East
0,0,0.173913,0.085714,East
0,0,0.086957,0.057143,East
0.060606,0,0,0,East
