@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,0,1,0,0.461538,0.304348,0.304348,0.103448,North
0,0,1,0,0.538462,0.304348,0.304348,0.034483,East
0,1,0,0,0.576923,0.391304,0.304348,0,South
0,0,0,1,0.5,0.391304,0.217391,0,South
0,0,0,1,0.5,0.434783,0.130435,0,South
0,0,0,1,0.423077,0.434783,0.043478,0,East
0,1,0,0,0.5,0.521739,0,0,North
0,0,1,0,0.538462,0.521739,0,0,North
0,0,1,0,0.615385,0.478261,0,0,North
0,0,1,0,0.692308,0.391304,0,0,North
0,0,1,0,0.692308,0.304348,0,0,North
0,0,1,0,0.769231,0.304348,0,0,West
1,0,0,0,0.730769,0.26087,0,0,West
1,0,0,0,0.653846,0.217391,0,0,West
1,0,0,0,0.615385,0.217391,0,0,South
0,0,0,1,0.576923,0.217391,0,0,West
1,0,0,0,0.5,0.217391,0,0,South
0,0,0,1,0.423077,0.217391,0,0,West
1,0,0,0,0.346154,0.217391,0,0,North
0,0,1,0,0.423077,0.217391,0,0,West
1,0,0,0,0.346154,0.217391,0,0,South
0,0,0,1,0.346154,0.217391,0,0,North
1,0,0,0,0.269231,0.130435,0,0,West
1,0,0,0,0.269231,0.043478,0,0,West
1,0,0,0,0.346154,0,0,0,South
0,0,0,1,0.346154,0,0,0,East
0,1,0,0,0.346154,0,0,0,South
0,0,0,1,0.307692,0,0,0,South
0,0,0,1,0.307692,0,0,0,South
0,0,0,1,0.230769,0,0,0,South
0,0,0,1,0.230769,0,0,0,South
0,0,0,1,0.153846,0,0,0,South
0,0,0,1,0.115385,0,0,0,South
0,0,0,1,0.076923,0,0,0,South
0,0,0,1,0.076923,0,0,0,North
0,1,0,0,0.076923,0,0,0,North
1,0,0,0,0.346154,0.173913,0.565217,0.62069,North
0,0,1,0,0.423077,0.173913,0.565217,0.62069,West
1,0,0,0,0.346154,0.173913,0.608696,0.655172,South
0,0,0,1,0.346154,0.173913,0.608696,0.689655,North
1,0,0,0,0.346154,0.130435,0.608696,0.724138,North
0,0,1,0,0.384615,0.086957,0.695652,0.689655,West
1,0,0,0,0.307692,0,0.782609,0.689655,South
0,0,0,1,0.307692,0,0.695652,0.689655,South
0,0,0,1,0.269231,0,0.652174,0.689655,South
0,0,0,1,0.269231,0,0.652174,0.758621,South
0,0,0,1,0.269231,0,0.565217,0.758621,West
1,0,0,0,0.192308,0,0.652174,0.827586,South
0,0,0,1,0.153846,0,0.652174,0.827586,South
0,0,0,1,0.115385,0,0.73913,0.862069,South
0,0,0,1,0.115385,0,0.826087,0.931034,West
1,0,0,0,0.115385,0,0.826087,0.965517,North
0,0,1,0,0.076923,0,0.826087,0.931034,West
1,0,0,0,0.076923,0,0.913043,0.965517,North
0,0,1,0,0.076923,0,0.913043,0.965517,West
1,0,0,0,0.038462,0,0.913043,1,North
0,0,1,0,0,0,0.913043,0.965517,North
0,0,1,0,0,0,0.869565,0.965517,North
0,0,1,0,0,0,0.869565,0.896552,East
0,1,0,0,0,0,0.782609,0.896552,East
0,1,0,0,0,0,0.782609,0.827586,South
0,0,0,1,0,0,0.782609,0.827586,East
0,1,0,0,0,0,0.782609,0.758621,South
0,0,0,1,0,0,0.695652,0.827586,East
0,1,0,0,0,0,0.608696,0.793103,East
0,1,0,0,0,0,0.565217,0.793103,East
0,1,0,0,0,0,0.565217,0.724138,South
