@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
West,12,6,True,True,False,False,5,6,5,12,5,1,7,1,7,13,0,0,West
West,11,6,True,True,False,False,5,6,5,12,5,1,7,1,6,12,0,0,West
West,10,6,True,True,False,False,5,6,5,12,5,1,7,1,5,11,0,0,West
West,9,6,True,True,False,False,5,6,5,12,5,1,7,1,4,10,0,0,West
West,8,6,True,True,False,False,5,6,5,12,5,1,7,1,3,9,0,0,West
West,7,6,True,True,False,False,5,6,5,12,5,1,7,1,2,8,0,0,West
West,6,6,True,True,False,False,5,6,5,12,5,1,7,1,1,7,0,0,West
West,10,11,True,True,True,True,5,5,7,10,21,9,25,14,11,4,13,18,West
West,9,11,True,True,True,True,5,5,7,10,21,9,25,14,10,3,14,19,West
West,8,11,True,True,True,True,5,5,7,10,21,9,25,14,9,2,15,20,West
West,21,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,2,0,West
West,20,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,1,0,West
West,13,1,True,True,True,True,10,13,13,13,14,13,17,13,15,12,13,16,West
West,11,3,True,True,True,True,10,13,13,13,14,13,17,13,11,12,13,16,West
West,10,3,True,True,True,True,10,13,13,13,14,13,17,13,10,13,14,17,West
West,11,9,True,True,True,True,10,13,13,13,14,13,17,13,5,6,7,10,West
West,10,9,True,True,True,True,10,13,13,13,14,13,17,13,4,7,8,11,West
West,9,9,True,True,True,True,10,13,13,13,14,13,17,13,5,8,9,12,West
West,12,13,True,False,True,True,10,13,3,1,14,13,17,13,2,0,2,5,West
West,11,13,True,False,True,True,10,13,3,1,14,13,17,13,1,0,3,6,West
West,12,8,True,True,True,False,2,9,7,11,11,5,7,1,11,8,4,0,West
West,10,6,True,True,False,False,3,9,6,9,5,1,7,1,10,7,0,0,West
West,9,6,True,True,False,False,3,9,6,10,5,1,7,1,9,7,0,0,West
West,8,6,True,True,False,False,3,9,6,9,5,1,7,1,8,5,0,0,West
West,7,6,True,True,False,False,3,9,7,9,5,1,7,1,7,3,0,0,West
West,5,8,True,True,False,False,1,9,7,8,5,1,7,1,5,2,0,0,West
West,4,8,True,True,False,False,1,8,7,7,5,1,7,1,3,4,0,0,West
West,2,9,False,True,False,False,1,1,7,7,5,1,7,1,0,7,0,0,West
West,10,10,True,True,True,True,5,5,5,10,21,9,25,14,10,5,12,20,West
West,9,10,True,True,True,True,5,5,5,9,22,9,25,15,9,5,14,20,West
West,8,10,True,True,True,True,6,5,4,9,22,10,25,14,7,5,14,20,West
West,7,10,True,True,True,True,6,6,5,9,22,10,24,14,5,3,15,20,West
West,2,9,True,False,True,False,4,9,3,1,1,9,7,1,2,0,1,0,West
West,3,12,True,True,True,True,10,3,10,9,19,12,21,8,16,10,16,22,West
West,22,10,False,False,True,True,1,1,3,1,22,9,22,11,0,0,1,2,West
West,22,11,False,False,False,True,1,1,3,1,5,1,20,10,0,0,0,2,West
West,13,1,True,True,True,True,10,13,13,13,15,13,17,13,15,12,14,15,West
West,11,3,True,True,True,True,10,13,13,15,14,14,17,13,11,14,14,16,West
West,10,3,True,True,True,True,11,13,14,15,14,15,17,13,11,16,16,16,West
West,11,9,True,True,True,True,10,13,19,15,17,15,17,13,5,14,12,10,West
West,10,9,True,True,True,True,10,13,18,15,17,15,17,13,4,14,13,10,West
West,9,9,True,True,True,True,10,13,18,15,18,15,16,13,5,15,15,10,West
West,17,21,False,True,False,False,4,3,16,21,4,1,10,1,31,1,0,0,West
West,12,5,True,True,False,False,1,4,7,11,5,1,7,1,12,11,0,0,West
West,11,5,True,True,False,False,2,4,7,12,5,1,7,1,10,11,0,0,West
West,10,5,True,True,False,False,2,4,6,12,5,1,7,1,9,11,0,0,West
West,9,5,True,True,False,False,1,4,7,12,5,1,7,1,9,9,0,0,West
West,8,5,True,True,False,False,1,4,8,12,5,1,7,1,8,7,0,0,West
West,7,5,True,True,False,False,1,5,8,13,5,1,7,1,6,9,0,0,West
West,6,5,True,True,False,False,1,6,9,13,5,1,7,1,6,11,0,0,West
West,5,5,True,True,False,False,1,7,9,14,5,1,7,1,6,13,0,0,West
West,4,5,True,True,False,False,1,8,9,13,5,1,7,1,6,13,0,0,West
West,3,5,True,True,False,False,1,8,10,13,5,1,7,1,5,15,0,0,West
West,2,5,True,True,False,False,1,8,10,12,5,1,7,1,4,15,0,0,West
West,10,11,True,True,True,True,4,3,8,8,19,9,25,14,14,5,11,18,West
West,7,4,True,False,True,True,1,3,3,1,18,9,24,15,7,0,16,27,West
West,6,4,True,False,True,True,2,3,3,1,18,9,24,14,5,0,17,27,West
West,5,4,True,False,True,True,3,3,3,1,18,8,24,13,3,0,17,29,West
West,4,4,True,False,True,True,3,3,3,1,18,9,25,13,2,0,19,30,West
West,2,3,False,False,True,True,1,1,3,1,18,8,25,15,0,0,21,35,West
West,6,5,True,True,True,False,5,6,4,10,2,6,7,1,2,7,5,0,West
West,5,7,False,True,True,False,1,1,5,8,1,5,7,1,0,1,6,0,West
West,3,6,False,True,True,False,1,1,5,7,1,8,7,1,0,3,4,0,West
West,2,6,False,True,True,False,1,1,6,7,1,9,7,1,0,5,4,0,West
West,5,6,False,False,True,False,1,1,3,1,3,8,7,1,0,0,4,0,West
West,13,1,True,True,True,True,11,13,14,13,16,13,16,13,14,13,15,15,West
West,11,3,True,True,True,True,11,13,14,14,16,13,16,13,10,14,15,15,West
West,10,3,True,True,True,True,12,13,14,15,15,13,16,13,12,16,15,16,West
West,11,9,True,True,True,True,13,13,8,15,17,13,16,13,6,9,10,8,West
West,10,9,True,True,True,True,12,13,8,15,16,13,15,13,6,8,10,9,West
West,9,9,True,True,True,True,11,13,8,14,16,13,15,13,6,6,11,11,West
East,13,5,True,True,False,False,1,3,8,11,5,1,7,1,14,11,0,0,West
East,7,5,True,True,True,False,5,7,4,9,2,6,7,1,4,7,6,0,West
East,6,7,False,True,True,False,1,1,5,9,2,5,7,1,0,3,6,0,West
East,12,4,True,False,True,True,11,6,3,1,20,11,22,6,3,0,15,13,West
East,16,5,True,False,True,True,15,6,3,1,19,10,21,4,2,0,8,7,West
North,6,12,False,True,False,False,1,1,5,12,5,1,7,1,0,1,0,0,West
North,11,11,True,True,True,True,5,5,7,10,21,9,25,14,12,5,12,17,West
North,3,7,True,True,True,False,1,10,2,8,2,9,7,1,5,2,3,0,West
North,2,10,True,False,False,False,1,10,3,1,5,1,7,1,1,0,0,0,West
North,22,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,3,0,West
North,12,3,True,True,True,True,10,13,13,13,14,13,17,13,12,11,12,15,West
North,12,9,True,True,True,True,10,13,13,13,14,13,17,13,6,5,6,9,West
North,6,8,True,True,False,False,2,9,7,9,5,1,7,1,5,2,0,0,West
North,3,9,True,True,False,False,1,9,6,7,5,1,7,1,2,5,0,0,West
North,5,9,False,False,True,True,1,1,3,1,22,11,25,13,0,0,19,25,West
North,3,9,True,True,True,False,4,8,2,8,1,9,7,1,2,2,2,0,West
North,23,10,False,False,True,True,1,1,3,1,21,9,22,12,0,0,3,2,West
North,12,3,True,True,True,True,11,13,13,14,14,13,17,13,11,12,12,15,West
North,12,9,True,True,True,True,10,13,18,15,17,15,17,13,6,12,11,9,West
North,18,21,False,True,False,False,3,3,16,21,4,1,11,1,33,2,0,0,West
North,11,11,True,True,True,True,4,4,8,9,20,9,25,15,14,5,11,17,West
North,4,8,False,False,True,False,1,1,3,1,2,9,7,1,0,0,3,0,West
North,12,5,True,False,True,True,12,6,3,1,19,11,23,6,1,0,13,11,West
North,12,3,True,True,True,True,10,13,13,14,16,13,15,13,12,12,14,14,West
North,12,9,True,True,True,True,14,13,9,15,16,13,16,13,6,9,8,8,West
South,13,6,True,True,False,False,5,6,5,12,5,1,7,1,8,14,0,0,West
South,7,7,True,False,True,True,5,5,3,1,21,9,25,14,4,0,16,25,West
South,6,5,True,False,True,True,5,5,3,1,21,9,25,14,1,0,19,28,West
South,13,13,True,False,True,True,10,13,3,1,14,13,17,13,3,0,1,4,West
South,13,8,True,True,True,False,2,8,6,11,11,6,7,1,11,10,4,0,West
South,11,6,True,True,False,False,2,9,7,9,5,1,7,1,12,7,0,0,West
South,6,8,False,True,True,True,1,1,4,9,22,11,25,13,0,3,19,23,West
South,23,11,False,False,False,True,1,1,3,1,5,1,21,10,0,0,0,4,West
South,14,8,True,True,True,False,1,4,7,10,12,6,7,1,17,9,4,0,West
South,13,6,True,True,True,False,3,3,7,10,13,5,7,1,13,10,1,0,West
South,9,9,True,True,True,True,4,3,8,7,18,10,25,12,11,3,10,18,West
