@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-14

@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
8,14,0,0,West
7,13,0,0,West
6,12,0,0,West
5,11,0,0,West
4,10,0,0,West
3,9,0,0,West
2,8,0,0,West
1,7,0,0,West
0,1,0,0,West
12,5,12,17,West
11,4,13,18,West
10,3,14,19,West
9,2,15,20,West
4,0,16,25,West
1,0,19,28,West
5,2,3,0,West
1,0,0,0,West
0,0,3,0,West
0,0,2,0,West
0,0,1,0,West
16,13,12,15,West
15,12,13,16,West
12,11,12,15,West
11,12,13,16,West
10,13,14,17,West
6,5,6,9,West
5,6,7,10,West
4,7,8,11,West
5,8,9,12,West
3,0,1,4,West
2,0,2,5,West
1,0,3,6,West
11,10,4,0,West
11,8,4,0,West
12,7,0,0,West
10,7,0,0,West
9,7,0,0,West
8,5,0,0,West
7,3,0,0,West
5,2,0,0,West
5,2,0,0,West
3,4,0,0,West
2,5,0,0,West
0,7,0,0,West
10,5,10,18,West
10,5,12,20,West
9,5,14,20,West
7,5,14,20,West
5,3,15,20,West
0,3,19,23,West
0,0,19,25,West
2,2,2,0,West
2,0,1,0,West
14,10,15,21,West
16,10,16,22,West
0,0,3,2,West
0,0,1,2,West
0,0,0,4,West
0,0,0,2,West
15,14,13,15,West
15,12,14,15,West
11,12,12,15,West
11,14,14,16,West
11,16,16,16,West
6,12,11,9,West
5,14,12,10,West
4,14,13,10,West
5,15,15,10,West
33,2,0,0,West
31,1,0,0,West
17,9,4,0,West
13,10,1,0,West
14,11,0,0,West
12,11,0,0,West
10,11,0,0,West
9,11,0,0,West
9,9,0,0,West
8,7,0,0,West
6,9,0,0,West
6,11,0,0,West
6,13,0,0,West
6,13,0,0,West
5,15,0,0,West
4,15,0,0,West
14,5,11,17,West
14,5,11,18,West
11,3,10,18,West
10,0,11,21,West
8,0,14,27,West
7,0,16,27,West
5,0,17,27,West
3,0,17,29,West
2,0,19,30,West
1,0,20,34,West
0,0,21,35,West
4,7,6,0,West
2,7,5,0,West
0,3,6,0,West
0,1,6,0,West
0,3,4,0,West
0,3,4,0,West
0,5,4,0,West
0,3,2,0,West
0,0,6,0,West
0,0,4,0,West
0,0,3,0,West
3,0,15,13,West
1,0,13,11,West
2,0,8,7,West
16,13,13,14,West
14,13,15,15,West
12,12,14,14,West
10,14,15,15,West
12,16,15,16,West
6,9,8,8,West
6,9,10,8,West
6,8,10,9,West
