
@relation all-data-pacman
@attribute pacmanDirec {West, East, North, South, Stop}
@attribute pacmanXpos NUMERIC
@attribute pacmanYpos NUMERIC
@attribute LivingGhost1 {False, True}
@attribute LivingGhost2 {False, True}
@attribute LivingGhost3 {False, True}
@attribute LivingGhost4 {False, True}
@attribute ghost1XPos NUMERIC
@attribute ghost1YPos NUMERIC
@attribute ghost2XPos NUMERIC
@attribute ghost2YPos NUMERIC
@attribute ghost3XPos NUMERIC
@attribute ghost3YPos NUMERIC
@attribute ghost4XPos NUMERIC
@attribute ghost4YPos NUMERIC
@attribute ghost1Dist NUMERIC
@attribute ghost2Dist NUMERIC
@attribute ghost3Dist NUMERIC
@attribute ghost4Dist NUMERIC
@attribute currentScore NUMERIC
@attribute pacmanNextXPosition NUMERIC
@attribute pacmanNextYPosition NUMERIC
@attribute nextScore NUMERIC
@attribute action {West, East, North, South, Stop}
@data
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,0,12,10,-1,Stop
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,-1,12,10,-2,Stop
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,-2,12,11,-3,North
North,12,11,True,True,True,True,5,6,5,12,13,6,13,12,12,8,6,2,-3,12,12,-4,North
North,12,12,True,True,True,True,5,6,5,12,13,6,13,12,13,7,7,1,-4,12,12,195,East
East,13,12,True,True,True,False,5,6,5,12,13,6,7,1,14,8,6,0,195,13,11,194,South
South,13,11,True,True,True,False,5,6,5,12,13,6,7,1,13,9,5,0,194,13,10,193,South
South,13,10,True,True,True,False,5,6,5,12,13,6,7,1,12,10,4,0,193,13,9,192,South
South,13,9,True,True,True,False,5,6,5,12,13,6,7,1,11,11,3,0,192,13,8,191,South
South,13,8,True,True,True,False,5,6,5,12,13,6,7,1,10,12,2,0,191,13,7,190,South
South,13,7,True,True,True,False,5,6,5,12,13,6,7,1,9,13,1,0,190,13,6,389,South
South,13,6,True,True,False,False,5,6,5,12,5,1,7,1,8,14,0,0,389,13,6,388,West
West,12,6,True,True,False,False,5,6,5,12,5,1,7,1,7,13,0,0,388,12,6,387,West
West,11,6,True,True,False,False,5,6,5,12,5,1,7,1,6,12,0,0,387,11,6,386,West
West,10,6,True,True,False,False,5,6,5,12,5,1,7,1,5,11,0,0,386,10,6,385,West
West,9,6,True,True,False,False,5,6,5,12,5,1,7,1,4,10,0,0,385,9,6,384,West
