
@relation all-data-pacman
@attribute pacmanDirec {West, East, North, South, Stop}
@attribute pacmanXpos NUMERIC
@attribute pacmanYpos NUMERIC
@attribute LivingGhost1 {False, True}
@attribute LivingGhost2 {False, True}
@attribute LivingGhost3 {False, True}
@attribute LivingGhost4 {False, True}
@attribute ghost1XPos NUMERIC
@attribute ghost1YPos NUMERIC
@attribute ghost2XPos NUMERIC
@attribute ghost2YPos NUMERIC
@attribute ghost3XPos NUMERIC
@attribute ghost3YPos NUMERIC
@attribute ghost4XPos NUMERIC
@attribute ghost4YPos NUMERIC
@attribute ghost1Dist NUMERIC
@attribute ghost2Dist NUMERIC
@attribute ghost3Dist NUMERIC
@attribute ghost4Dist NUMERIC
@attribute currentScore NUMERIC
@attribute pacmanNextXPosition NUMERIC
@attribute pacmanNextYPosition NUMERIC
@attribute nextScore NUMERIC
@attribute action {West, East, North, South, Stop}
@data
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,0,12,11,-1,North
North,12,11,True,True,True,True,5,6,5,11,14,6,13,12,12,7,7,3,-1,12,12,-2,North
North,12,12,True,True,True,True,5,5,5,12,14,7,14,12,14,7,7,1,-2,12,12,197,East
East,13,12,True,True,True,False,5,5,5,11,15,7,7,1,15,9,7,0,197,13,11,196,South
South,13,11,True,True,True,False,6,5,5,12,15,8,7,1,13,9,5,0,196,13,10,195,South
South,13,10,True,True,True,False,5,5,5,12,14,8,7,1,13,10,3,0,195,13,9,194,South
South,13,9,True,True,True,False,6,5,6,12,14,9,7,1,11,10,1,0,194,13,9,393,East
East,14,9,True,True,False,False,6,4,6,13,5,1,7,1,13,12,0,0,393,14,10,392,North
North,14,10,True,True,False,False,6,4,6,14,5,1,7,1,14,12,0,0,392,14,11,391,North
North,14,11,True,True,False,False,5,4,6,14,5,1,7,1,16,11,0,0,391,14,12,390,North
North,14,12,True,True,False,False,5,3,7,14,5,1,7,1,18,9,0,0,390,14,13,389,North
North,14,13,True,True,False,False,6,3,8,14,5,1,7,1,18,7,0,0,389,14,14,388,North
North,14,14,True,True,False,False,5,3,7,14,5,1,7,1,20,7,0,0,388,14,14,387,West
West,13,14,True,True,False,False,5,3,7,14,5,1,7,1,19,6,0,0,387,13,14,386,West
West,12,14,True,True,False,False,5,4,7,14,5,1,7,1,17,5,0,0,386,12,14,385,West
West,11,14,True,True,False,False,5,4,7,13,5,1,7,1,16,5,0,0,385,11,13,384,South
South,11,13,True,True,False,False,5,4,6,13,5,1,7,1,15,5,0,0,384,11,13,383,West
West,10,13,True,True,False,False,5,5,6,12,5,1,7,1,13,5,0,0,383,10,12,382,South
South,10,12,True,True,False,False,5,6,5,12,5,1,7,1,11,5,0,0,382,10,12,381,West
West,9,12,True,True,False,False,5,7,5,13,5,1,7,1,9,5,0,0,381,9,13,380,North
North,9,13,True,True,False,False,5,6,4,13,5,1,7,1,11,5,0,0,380,9,13,379,West
West,8,13,True,True,False,False,6,6,4,12,5,1,7,1,9,5,0,0,379,8,12,378,South
South,8,12,True,True,False,False,6,5,4,13,5,1,7,1,9,5,0,0,378,8,13,377,North
West,7,12,True,True,False,False,6,6,4,12,5,1,7,1,7,3,0,0,377,7,12,376,West
West,6,12,True,True,False,False,7,6,5,12,5,1,7,1,7,1,0,0,376,6,12,575,West
West,5,12,True,False,False,False,8,6,3,1,5,1,7,1,9,0,0,0,575,5,11,574,South
South,5,11,True,False,False,False,9,6,3,1,5,1,7,1,9,0,0,0,574,5,11,573,East
East,6,11,True,False,False,False,9,5,3,1,5,1,7,1,9,0,0,0,573,6,10,572,South
South,6,10,True,False,False,False,9,5,3,1,5,1,7,1,8,0,0,0,572,6,9,571,South
South,6,9,True,False,False,False,9,4,3,1,5,1,7,1,8,0,0,0,571,6,8,570,South
South,6,8,True,False,False,False,8,4,3,1,5,1,7,1,6,0,0,0,570,6,7,569,South
South,6,7,True,False,False,False,8,3,3,1,5,1,7,1,6,0,0,0,569,6,6,568,South
South,6,6,True,False,False,False,7,3,3,1,5,1,7,1,4,0,0,0,568,6,5,567,South
South,6,5,True,False,False,False,7,3,3,1,5,1,7,1,3,0,0,0,567,6,4,566,South
South,6,4,True,False,False,False,7,3,3,1,5,1,7,1,2,0,0,0,566,6,3,565,South
South,6,3,True,False,False,False,7,4,3,1,5,1,7,1,2,0,0,0,565,6,4,564,North
East,7,3,True,False,False,False,8,4,3,1,5,1,7,1,2,0,0,0,564,7,4,563,North
Stop,11,10,True,True,True,True,5,5,7,10,21,9,25,14,11,4,11,18,0,11,10,-1,West
West,10,10,True,True,True,True,6,5,7,11,21,8,25,14,9,4,13,18,-1,10,11,-2,North
North,10,11,True,True,True,True,5,5,6,11,20,8,24,14,11,4,13,18,-2,10,11,-3,West
West,9,11,True,True,True,True,6,5,6,10,20,8,24,15,9,4,14,19,-3,9,10,-4,South
South,9,10,True,True,True,True,6,4,6,11,20,7,24,15,9,4,14,20,-4,9,11,-5,North
West,8,10,True,True,True,True,6,3,6,11,20,8,24,15,9,3,14,21,-5,8,11,-6,North
North,8,11,True,True,True,True,6,3,6,11,21,8,24,15,10,2,16,20,-6,8,11,-7,West
West,7,11,True,False,True,True,7,3,3,1,21,7,24,15,8,0,18,20,193,7,10,192,South
South,7,10,True,False,True,True,6,3,3,1,20,7,24,14,8,0,16,20,192,7,9,191,South
South,7,9,True,False,True,True,6,3,3,1,20,7,24,13,7,0,15,20,191,7,8,190,South
South,7,8,True,False,True,True,5,3,3,1,21,7,24,12,7,0,15,22,190,7,7,189,South
South,7,7,True,False,True,True,4,3,3,1,20,7,25,12,7,0,13,22,189,7,7,188,West
West,6,7,True,False,True,True,4,4,3,1,20,6,24,12,5,0,15,24,188,6,6,187,South
South,6,6,True,False,True,True,4,4,3,1,20,7,24,13,4,0,15,24,187,6,5,186,South
South,6,5,True,False,True,True,4,4,3,1,21,7,24,12,3,0,17,25,186,6,4,185,South
South,6,4,True,False,True,True,3,4,3,1,21,8,24,12,3,0,19,27,185,6,4,184,West
West,5,4,True,False,True,True,3,5,3,1,20,8,25,12,3,0,19,28,184,5,5,183,North
North,5,5,True,False,True,True,3,5,3,1,21,8,25,12,2,0,19,27,183,5,5,182,West
West,4,5,True,False,True,True,3,6,3,1,22,8,25,12,2,0,21,28,182,4,6,181,North
North,4,6,True,False,True,True,3,7,3,1,23,8,25,12,2,0,21,28,181,4,6,180,West
